Model,MAE,RMSE,MAPE,R2
TempReg,6.195689784,7.406969466,0.470785936,-7.049953182
TempRidge,6.19569194,7.406964836,0.470785235,-7.050424068
TempLasso,6.202448714,7.380824238,0.469298374,-9.096549178
TempSVM,6.543749666,7.577943598,0.505601951,-1902.574561
TempForest,5.371610922,6.783059844,0.782814025,-0.859973934
PrecReg,2.57091823,6.36920241,1.385606628,-28.25588479
PrecRidge,2.570916944,6.369204334,1.385608332,-28.2565807
PrecLasso,2.549624782,6.392796062,1.429320169,-36.44529044
PrecSVM,1.943324807,6.792951786,13.90322308,-40310.97728
PrecForest,2.66903413,6.598948764,1.970816329,-12.86027474
WinReg,3.406658201,4.311141116,0.287947181,-1.832199775
WinRidge,3.406657968,4.311140906,0.287947042,-1.832237402
WinLasso,3.413280007,4.323576057,0.287388895,-2.272927936
WinSVM,3.503061647,4.540809728,0.31041847,-5.624432509
WinForest,3.175382253,4.005548614,0.263729024,-0.445295681
PressReg,6.196107202,8.004547178,0.006087866,-4.377992588
PressRidge,6.196109924,8.004539884,0.006087869,-4.378316043
PressLasso,6.215802903,7.986263578,0.006107044,-5.747885399
PressSVM,6.216483993,8.114231519,0.006107691,-28.62283533
PressForest,5.320549488,7.048571251,0.005227367,-0.80516716
