time,tavg,prcp,wspd,wdir,pres
2020-01-01,4.7,0.0,10.8,293.0,1035.1
2020-01-02,1.3,0.0,4.9,142.0,1032.2
2020-01-03,-0.7,0.0,6.3,168.0,1027.9
2020-01-04,5.8,3.2,20.9,273.0,1023.7
2020-01-05,3.5,0.0,20.1,306.0,1032.2
2020-01-06,1.4,0.0,5.7,170.0,1033.0
2020-01-07,0.7,0.0,6.1,108.0,1029.1
2020-01-08,5.1,0.3,6.5,185.0,1031.2
2020-01-09,3.1,0.0,7.6,145.0,1025.9
2020-01-10,1.4,0.1,7.0,156.0,1023.2
2020-01-11,5.8,0.0,12.4,301.0,1031.0
2020-01-12,3.0,0.0,6.1,168.0,1029.9
2020-01-13,2.2,0.0,7.6,150.0,1026.3
2020-01-14,-0.1,0.0,10.7,138.0,1024.7
2020-01-15,0.6,0.0,12.1,141.0,1026.4
2020-01-16,1.4,0.0,4.8,128.0,1032.5
2020-01-17,0.5,0.0,14.1,133.0,1028.0
2020-01-18,0.2,4.6,7.9,169.0,1027.1
2020-01-19,3.4,6.7,13.4,302.0,1032.2
2020-01-20,3.3,0.0,10.8,303.0,1045.3
2020-01-21,0.5,0.0,4.6,120.0,1043.9
2020-01-22,1.4,0.0,9.3,283.0,1034.7
2020-01-23,2.8,0.0,8.8,127.0,1034.6
2020-01-24,0.1,0.0,7.7,146.0,1027.1
2020-01-25,-0.1,0.0,5.9,156.0,1025.0
2020-01-26,-0.4,0.0,6.2,150.0,1023.4
2020-01-27,0.7,0.0,6.2,139.0,1018.9
2020-01-28,2.0,1.8,8.6,160.0,1006.1
2020-01-29,5.0,2.0,17.8,261.0,1008.7
2020-01-30,6.5,0.3,14.3,248.0,1015.9
2020-01-31,10.5,0.0,16.8,252.0,1010.5
2020-02-01,14.0,2.8,10.8,217.0,1010.9
2020-02-02,12.7,10.0,22.1,263.0,1011.6
2020-02-03,10.2,7.4,27.2,265.0,1012.7
2020-02-04,7.6,1.3,23.6,268.0,1005.1
2020-02-05,3.9,0.0,26.2,313.0,1020.6
2020-02-06,3.7,0.0,17.6,292.0,1030.0
2020-02-07,4.9,0.0,15.4,291.0,1029.3
2020-02-08,3.7,0.0,10.4,129.0,1029.1
2020-02-09,2.8,0.0,8.2,132.0,1024.6
2020-02-10,7.6,15.1,16.2,236.0,1005.8
2020-02-11,7.3,4.4,24.2,255.0,1006.2
2020-02-12,6.0,1.4,24.5,267.0,1016.2
2020-02-13,6.3,0.0,14.0,190.0,1017.1
2020-02-14,8.2,1.6,16.7,272.0,1016.5
2020-02-15,8.3,0.0,10.4,182.0,1027.4
2020-02-16,7.7,0.0,12.4,139.0,1023.2
2020-02-17,8.9,0.2,6.0,133.0,1019.2
2020-02-18,10.0,0.0,17.0,277.0,1024.4
2020-02-19,7.5,2.7,13.3,240.0,1021.6
2020-02-20,6.9,0.1,13.7,263.0,1023.4
2020-02-21,6.9,2.9,18.5,271.0,1023.9
2020-02-22,8.6,0.0,9.0,207.0,1027.4
2020-02-23,13.7,1.5,24.7,257.0,1017.4
2020-02-24,10.2,0.0,20.1,269.0,1018.6
2020-02-25,11.1,0.4,10.6,231.0,1005.4
2020-02-26,8.4,0.0,18.4,264.0,999.5
2020-02-27,5.7,0.6,18.7,249.0,1004.7
2020-02-28,5.3,0.0,21.1,282.0,1010.8
2020-02-29,6.0,0.0,10.2,157.0,1009.8
2020-03-01,8.4,9.3,7.6,156.0,1004.6
2020-03-02,10.7,1.8,15.8,193.0,997.3
2020-03-03,8.7,0.7,17.1,243.0,1000.1
2020-03-04,7.2,0.2,15.9,288.0,1012.3
2020-03-05,7.2,3.8,15.3,162.0,1007.1
2020-03-06,8.0,1.8,10.6,180.0,998.9
2020-03-07,7.8,0.0,18.9,279.0,1012.8
2020-03-08,7.1,0.0,10.6,287.0,1021.2
2020-03-09,6.8,0.4,7.6,194.0,1014.8
2020-03-10,9.7,1.0,15.0,268.0,1015.7
2020-03-11,14.1,0.0,20.2,258.0,1013.6
2020-03-12,16.6,0.6,12.0,240.0,1014.1
2020-03-13,10.9,0.0,16.4,288.0,1016.8
2020-03-14,7.8,0.0,11.0,323.0,1022.8
2020-03-15,5.1,0.0,13.7,112.0,1027.4
2020-03-16,8.5,0.0,16.1,140.0,1024.3
2020-03-17,9.9,0.0,6.0,284.0,1028.9
2020-03-18,14.2,0.0,6.9,284.0,1028.9
2020-03-19,13.9,0.0,4.8,97.0,1024.7
2020-03-20,14.5,1.1,6.1,65.0,1020.0
2020-03-21,7.3,0.2,15.8,335.0,1021.3
2020-03-22,2.2,0.1,16.9,339.0,1030.6
2020-03-23,1.2,0.0,18.2,338.0,1034.0
2020-03-24,2.4,0.0,13.5,335.0,1032.3
2020-03-25,1.9,0.0,9.0,72.0,1030.2
2020-03-26,5.7,0.0,7.6,113.0,1024.9
2020-03-27,10.4,0.0,6.9,136.0,1020.7
2020-03-28,12.6,0.0,6.6,300.0,1015.1
2020-03-29,11.1,0.0,17.5,308.0,1015.1
2020-03-30,4.2,0.0,18.3,328.0,1023.7
2020-03-31,3.1,0.0,7.6,309.0,1026.3
2020-04-01,3.9,0.0,6.9,10.0,1023.5
2020-04-02,6.5,0.0,6.9,147.0,1014.5
2020-04-03,9.5,0.0,9.9,273.0,1013.8
2020-04-04,10.8,0.0,6.8,347.0,1023.9
2020-04-05,11.5,0.0,8.0,88.0,1028.8
2020-04-06,13.8,0.0,16.3,137.0,1028.5
2020-04-07,14.5,0.0,14.7,146.0,1030.9
2020-04-08,15.2,0.0,11.9,133.0,1027.9
2020-04-09,16.4,0.0,6.8,300.0,1021.9
2020-04-10,16.8,0.0,8.1,330.0,1023.5
2020-04-11,15.5,0.0,6.3,52.0,1023.5
2020-04-12,16.3,0.1,6.6,141.0,1019.0
2020-04-13,17.0,5.8,12.1,268.0,1011.2
2020-04-14,7.4,0.0,18.8,314.0,1019.9
2020-04-15,10.2,0.0,10.4,271.0,1024.4
2020-04-16,15.2,0.0,6.2,152.0,1018.6
2020-04-17,19.8,0.0,10.5,293.0,1014.2
2020-04-18,17.9,0.7,6.1,357.0,1015.1
2020-04-19,14.3,0.5,9.7,317.0,1015.7
2020-04-20,11.9,0.0,9.7,57.0,1020.7
2020-04-21,12.4,0.0,9.4,94.0,1021.0
2020-04-22,13.4,0.0,7.9,98.0,1022.3
2020-04-23,14.8,0.0,6.9,137.0,1020.9
2020-04-24,16.8,0.0,9.3,232.0,1011.9
2020-04-25,16.9,0.0,16.9,295.0,1007.1
2020-04-26,13.3,0.0,7.0,13.0,1011.7
2020-04-27,15.4,0.0,7.2,128.0,1010.9
2020-04-28,18.3,0.0,8.9,133.0,1006.7
2020-04-29,15.8,0.0,17.2,270.0,1005.7
2020-04-30,17.7,1.7,13.3,239.0,1007.7
2020-05-01,16.3,1.6,14.4,253.0,1005.9
2020-05-02,15.1,0.0,17.5,274.0,1008.3
2020-05-03,13.0,0.0,18.4,292.0,1015.6
2020-05-04,14.8,0.9,7.0,180.0,1017.5
2020-05-05,13.2,0.7,13.7,296.0,1015.5
2020-05-06,11.1,0.0,19.0,304.0,1019.9
2020-05-07,15.5,0.0,17.7,299.0,1020.5
2020-05-08,17.1,0.0,7.3,112.0,1019.0
2020-05-09,19.8,0.0,7.3,117.0,1013.4
2020-05-10,20.7,0.3,8.6,139.0,1007.2
2020-05-11,18.6,8.0,14.0,154.0,1000.0
2020-05-12,9.4,0.0,17.2,325.0,1014.8
2020-05-13,12.2,0.3,12.0,110.0,1011.7
2020-05-14,12.5,10.5,13.8,328.0,1012.3
2020-05-15,10.1,4.9,11.3,341.0,1015.8
2020-05-16,13.9,0.0,9.6,174.0,1022.0
2020-05-17,16.6,0.0,7.0,324.0,1020.3
2020-05-18,19.2,0.0,5.8,89.0,1021.7
2020-05-19,21.4,0.0,7.0,292.0,1018.0
2020-05-20,19.2,0.0,14.7,330.0,1018.0
2020-05-21,17.1,0.0,10.4,352.0,1021.3
2020-05-22,16.6,3.7,5.6,81.0,1023.8
2020-05-23,17.7,21.0,11.2,155.0,1021.4
2020-05-24,14.6,5.3,21.0,284.0,1026.4
2020-05-25,13.3,5.4,15.5,283.0,1027.0
2020-05-26,13.3,10.2,16.3,307.0,1030.2
2020-05-27,15.7,0.0,13.8,308.0,1030.9
2020-05-28,14.7,0.3,12.8,294.0,1026.0
2020-05-29,14.2,4.9,15.1,307.0,1024.0
2020-05-30,13.8,0.0,12.1,307.0,1020.2
2020-05-31,12.2,5.3,19.1,287.0,1017.8
2020-06-01,17.2,0.0,16.1,308.0,1018.3
2020-06-02,17.7,3.7,14.4,306.0,1015.1
2020-06-03,18.1,2.6,10.5,270.0,1006.7
2020-06-04,18.5,9.3,10.0,148.0,998.3
2020-06-05,16.7,1.9,12.4,242.0,999.1
2020-06-06,19.8,0.0,13.3,169.0,1005.7
2020-06-07,20.8,2.6,11.7,193.0,1005.5
2020-06-08,15.4,0.0,16.4,293.0,1012.0
2020-06-09,17.2,0.9,10.1,316.0,1011.7
2020-06-10,16.2,6.0,10.1,299.0,1010.2
2020-06-11,18.8,0.0,7.8,157.0,1009.1
2020-06-12,21.8,0.0,6.7,318.0,1008.8
2020-06-13,24.4,0.0,6.3,117.0,1008.5
2020-06-14,20.9,8.4,16.3,268.0,1008.7
2020-06-15,18.2,0.0,19.3,276.0,1012.2
2020-06-16,19.7,0.1,14.5,304.0,1012.9
2020-06-17,20.3,0.0,13.9,301.0,1009.7
2020-06-18,19.0,0.4,20.8,273.0,1009.7
2020-06-19,19.3,0.3,17.1,280.0,1012.9
